loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
84.044	83.8965	1.669076681137085	0	18.9659090909	9.00098756825	63.0	8.0	18.9659090909	9.00098756825	5007	5007
70.6833	70.6959	3.0359511375427246	1	17.5964912281	8.04081616073	58.0	8.0	17.5964912281	8.04081616073	5015	10022
57.1261	57.1405	4.315718173980713	2	17.0476190476	6.76006011056	48.0	8.0	17.0476190476	6.76006011056	5012	15034
67.4048	67.3964	5.658636093139648	3	17.3	7.82456344491	73.0	8.0	17.3	7.82456344491	5017	20051
73.3227	73.324	6.874353408813477	4	17.8185053381	8.49067811472	68.0	8.0	17.8185053381	8.49067811472	5007	25058
80.6165	80.5693	8.067791223526001	5	17.9357142857	8.91083667251	80.0	8.0	17.9357142857	8.91083667251	5022	30080
67.3826	67.3971	9.278526782989502	6	17.7137809187	7.8766587808	55.0	8.0	17.7137809187	7.8766587808	5013	35093
63.9004	63.8881	10.599314451217651	7	17.2164948454	7.58080430426	54.0	8.0	17.2164948454	7.58080430426	5010	40103
70.6137	70.6021	11.878898620605469	8	17.9892473118	8.08489182225	50.0	8.0	17.9892473118	8.08489182225	5019	45122
86.4872	86.4765	13.293087720870972	9	18.3897058824	9.3389387183	84.0	8.0	18.3897058824	9.3389387183	5002	50124
67.1976	67.187	14.977554321289062	10	17.6280701754	7.89149563095	53.0	8.0	17.6280701754	7.89149563095	5024	55148
72.2471	72.2288	16.352391958236694	11	17.9178571429	8.14404048419	55.0	8.0	17.9178571429	8.14404048419	5017	60165
75.7697	75.6872	17.585455417633057	12	18.1594202899	8.42077002298	61.0	8.0	18.1594202899	8.42077002298	5012	65177
101.632	101.146	19.255504369735718	13	17.7703180212	9.41468491905	115.0	8.0	17.7703180212	9.41468491905	5029	70206
81.8471	81.8894	20.666589975357056	14	18.6133828996	8.91883930251	64.0	8.0	18.6133828996	8.91883930251	5007	75213
90.0633	89.9689	22.294642448425293	15	19.3281853282	9.16201328533	73.0	9.0	19.3281853282	9.16201328533	5006	80219
97.1636	97.1657	23.54308295249939	16	19.4263565891	9.84789372184	75.0	8.0	19.4263565891	9.84789372184	5012	85231
92.7755	92.8032	25.206297636032104	17	18.7089552239	9.43502891094	83.0	8.0	18.7089552239	9.43502891094	5014	90245
89.6713	89.6398	26.584794998168945	18	19.3281853282	9.35591903723	62.0	8.0	19.3281853282	9.35591903723	5006	95251
124.044	124.016	27.91004753112793	19	20.875	11.6422810623	80.0	8.0	20.875	11.6422810623	5010	100261
105.891	105.684	29.53884196281433	20	20.7119341564	10.2346613911	73.0	8.0	20.7119341564	10.2346613911	5033	105294
102.784	102.801	30.777360677719116	21	20.2793522267	10.1864649215	73.0	9.0	20.2793522267	10.1864649215	5009	110303
143.993	143.827	32.10035443305969	22	21.752173913	12.5071933933	103.0	8.0	21.752173913	12.5071933933	5003	115306
106.461	106.435	33.81555652618408	23	21.0210084034	10.2138674389	75.0	9.0	21.0210084034	10.2138674389	5003	120309
121.766	121.795	35.82775688171387	24	21.4615384615	11.1868653611	89.0	8.0	21.4615384615	11.1868653611	5022	125331
139.902	139.977	37.520745515823364	25	21.9563318777	12.1287783144	102.0	9.0	21.9563318777	12.1287783144	5028	130359
124.247	124.243	39.03840136528015	26	22.0440528634	11.4544798137	71.0	8.0	22.0440528634	11.4544798137	5004	135363
140.395	140.347	40.753655672073364	27	22.899543379	12.2414428139	92.0	9.0	22.899543379	12.2414428139	5015	140378
123.529	123.558	42.131978034973145	28	22.5990990991	11.2660935578	69.0	9.0	22.5990990991	11.2660935578	5017	145395
126.835	126.738	43.47536516189575	29	23.5352112676	11.2948087115	63.0	9.0	23.5352112676	11.2948087115	5013	150408
128.114	128.13	44.80744552612305	30	22.8584474886	11.6628066424	75.0	9.0	22.8584474886	11.6628066424	5006	155414
128.196	128.17	46.28771185874939	31	22.2844444444	11.565810834	72.0	8.0	22.2844444444	11.565810834	5014	160428
126.359	126.314	47.566914319992065	32	22.6923076923	11.5803463017	68.0	9.0	22.6923076923	11.5803463017	5015	165443
121.562	121.488	48.83642315864563	33	21.864628821	11.3892624475	65.0	9.0	21.864628821	11.3892624475	5007	170450
164.211	163.887	50.2049024105072	34	23.3738317757	13.7701582834	86.0	9.0	23.3738317757	13.7701582834	5002	175452
121.286	121.008	51.63202714920044	35	22.7863636364	11.1242893728	66.0	9.0	22.7863636364	11.1242893728	5013	180465
123.262	123.435	53.16681146621704	36	23.202764977	11.0938764072	70.0	9.0	23.202764977	11.0938764072	5035	185500
150.804	150.951	54.53736758232117	37	25.4111675127	12.4492259013	86.0	9.0	25.4111675127	12.4492259013	5006	190506
189.88	189.822	56.232770919799805	38	27.8111111111	14.8004462729	82.0	8.0	27.8111111111	14.8004462729	5006	195512
177.335	177.139	57.73506474494934	39	25.09	14.11636993	88.0	10.0	25.09	14.11636993	5018	200530
185.389	185.49	59.35172152519226	40	27.3879781421	14.4950441035	85.0	10.0	27.3879781421	14.4950441035	5012	205542
206.52	206.583	61.24728012084961	41	28.1235955056	14.7490774609	119.0	9.0	28.1235955056	14.7490774609	5006	210548
293.318	292.839	63.003456115722656	42	29.1511627907	18.8405287055	143.0	8.0	29.1511627907	18.8405287055	5014	215562
