loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
193.993	193.914	2.121880531311035	0	26.2460732984	14.8492308675	110.0	9.0	26.2460732984	14.8492308675	5013	5013
160.645	160.627	3.7583510875701904	1	25.8298969072	13.0260220522	79.0	10.0	25.8298969072	13.0260220522	5011	10024
201.588	201.211	5.5452799797058105	2	25.4517766497	15.3081365642	102.0	10.0	25.4517766497	15.3081365642	5014	15038
183.053	182.884	7.26404595375061	3	26.1302083333	14.4297408428	85.0	9.0	26.1302083333	14.4297408428	5017	20055
149.913	149.959	9.004451274871826	4	25.1708542714	12.7405874124	80.0	8.0	25.1708542714	12.7405874124	5009	25064
163.744	163.559	11.155839204788208	5	24.6945812808	13.6910067277	90.0	8.0	24.6945812808	13.6910067277	5013	30077
193.467	193.303	13.493935346603394	6	25.9481865285	14.6445770375	125.0	9.0	25.9481865285	14.6445770375	5008	35085
170.878	170.735	15.147407054901123	7	27.8222222222	13.6019424902	81.0	10.0	27.8222222222	13.6019424902	5008	40093
186.237	186.37	17.13857865333557	8	27.9222222222	14.4930847708	78.0	10.0	27.9222222222	14.4930847708	5026	45119
169.435	169.4	18.559435844421387	9	26.2094240838	13.728409615	103.0	9.0	26.2094240838	13.728409615	5006	50125
221.386	221.203	20.232529163360596	10	29.9226190476	16.3295660222	91.0	9.0	29.9226190476	16.3295660222	5027	55152
198.687	198.75	22.076653718948364	11	28.9248554913	14.9306727625	90.0	10.0	28.9248554913	14.9306727625	5004	60156
187.027	187.05	23.704556226730347	12	27.9553072626	14.5839205973	96.0	8.0	27.9553072626	14.5839205973	5004	65160
186.569	186.482	25.426947355270386	13	30.3272727273	13.972771633	75.0	10.0	30.3272727273	13.972771633	5004	70164
172.072	171.94	27.227375745773315	14	28.7528735632	13.4464398491	77.0	9.0	28.7528735632	13.4464398491	5003	75167
229.881	229.563	29.0420241355896	15	31.5911949686	16.3219240744	113.0	10.0	31.5911949686	16.3219240744	5023	80190
247.422	247.357	31.184099197387695	16	33.0789473684	16.9696037527	102.0	11.0	33.0789473684	16.9696037527	5028	85218
260.536	260.367	33.22573685646057	17	33.42	17.642475261	98.0	11.0	33.42	17.642475261	5013	90231
208.69	208.713	35.113277196884155	18	31.0621118012	14.795789833	119.0	10.0	31.0621118012	14.795789833	5001	95232
251.725	251.212	37.4424831867218	19	34.0680272109	16.9499703465	115.0	11.0	34.0680272109	16.9499703465	5008	100240
256.986	256.667	39.06395745277405	20	37.4328358209	16.1635520337	87.0	11.0	37.4328358209	16.1635520337	5016	105256
307.072	307.175	41.100143909454346	21	38.1666666667	18.6917445181	114.0	12.0	38.1666666667	18.6917445181	5038	110294
292.914	293.153	43.1265070438385	22	37.7969924812	18.4316495529	103.0	11.0	37.7969924812	18.4316495529	5027	115321
293.961	293.873	44.95718693733215	23	37.0294117647	18.2740338026	135.0	11.0	37.0294117647	18.2740338026	5036	120357
313.664	313.86	47.09680652618408	24	40.472	18.3305541651	122.0	11.0	40.472	18.3305541651	5059	125416
290.944	290.802	48.970226526260376	25	39.4724409449	17.354491475	122.0	15.0	39.4724409449	17.354491475	5013	130429
276.056	275.95	50.72700643539429	26	40.9512195122	16.168248347	78.0	14.0	40.9512195122	16.168248347	5037	135466
305.021	305.009	53.06833553314209	27	40.4758064516	18.0726418217	107.0	13.0	40.4758064516	18.0726418217	5019	140485
406.906	406.749	55.51123309135437	28	45.2702702703	20.8991339732	144.0	17.0	45.2702702703	20.8991339732	5025	145510
393.817	393.603	57.812833070755005	29	43.0854700855	21.4195264576	137.0	12.0	43.0854700855	21.4195264576	5041	150551
336.555	336.509	59.70782804489136	30	42.0420168067	18.8347055657	124.0	15.0	42.0420168067	18.8347055657	5003	155554
379.477	379.584	62.029388427734375	31	42.0166666667	21.3397060794	155.0	13.0	42.0166666667	21.3397060794	5042	160596
323.573	323.45	64.40599870681763	32	40.5887096774	19.2232269189	116.0	10.0	40.5887096774	19.2232269189	5033	165629
281.396	281.413	66.18372344970703	33	40.8861788618	16.2191311568	105.0	12.0	40.8861788618	16.2191311568	5029	170658
330.605	330.613	68.21208500862122	34	42.1764705882	18.9982958364	109.0	12.0	42.1764705882	18.9982958364	5019	175677
377.178	377.112	70.45826292037964	35	40.5887096774	20.7756883729	153.0	15.0	40.5887096774	20.7756883729	5033	180710
303.876	303.833	72.17777371406555	36	41.7166666667	16.9485413991	112.0	14.0	41.7166666667	16.9485413991	5006	185716
286.927	286.853	74.26375007629395	37	39.7063492063	17.5105716188	102.0	13.0	39.7063492063	17.5105716188	5003	190719
286.606	286.557	76.1114387512207	38	39.6328125	17.1372543262	106.0	13.0	39.6328125	17.1372543262	5073	195792
270.248	270.228	77.88409852981567	39	39.2734375	16.3648417173	87.0	12.0	39.2734375	16.3648417173	5027	200819
321.146	320.906	80.00133323669434	40	42.7881355932	17.7591474137	96.0	13.0	42.7881355932	17.7591474137	5049	205868
328.796	328.785	81.92252850532532	41	38.9689922481	19.524557379	134.0	15.0	38.9689922481	19.524557379	5027	210895
290.793	290.83	83.8622260093689	42	38.5615384615	18.2786145941	103.0	12.0	38.5615384615	18.2786145941	5013	215908
264.376	264.197	85.85906219482422	43	38.9689922481	15.9645624924	96.0	16.0	38.9689922481	15.9645624924	5027	220935
329.505	329.524	88.22472834587097	44	39.6141732283	19.9878101608	124.0	12.0	39.6141732283	19.9878101608	5031	225966
256.799	256.767	90.5654137134552	45	39.5118110236	15.0022917628	100.0	14.0	39.5118110236	15.0022917628	5018	230984
263.43	263.171	92.46455669403076	46	37.6992481203	15.9189606352	131.0	12.0	37.6992481203	15.9189606352	5014	235998
265.315	265.311	94.38459420204163	47	37.3481481481	16.3808011013	107.0	14.0	37.3481481481	16.3808011013	5042	241040
278.47	278.071	96.12372422218323	48	38.7538461538	16.5604076215	126.0	15.0	38.7538461538	16.5604076215	5038	246078
283.207	283.158	98.647784948349	49	39.0852713178	16.5365608601	123.0	13.0	39.0852713178	16.5365608601	5042	251120
251.417	251.307	100.29868960380554	50	36.2753623188	15.9468174627	107.0	13.0	36.2753623188	15.9468174627	5006	256126
290.889	291.03	102.2728967666626	51	38.6153846154	16.8300942067	147.0	15.0	38.6153846154	16.8300942067	5020	261146
217.342	217.224	104.28834295272827	52	35.5352112676	13.9822130328	78.0	14.0	35.5352112676	13.9822130328	5046	266192
247.643	247.394	106.29480314254761	53	37.6691729323	15.4134604803	92.0	12.0	37.6691729323	15.4134604803	5010	271202
217.608	217.614	107.93065190315247	54	34.9722222222	13.960730861	107.0	11.0	34.9722222222	13.960730861	5036	276238
278.913	278.955	109.79420781135559	55	37.6119402985	17.4321329852	108.0	11.0	37.6119402985	17.4321329852	5040	281278
250.357	250.159	111.5001368522644	56	35.9071428571	15.9292616763	93.0	10.0	35.9071428571	15.9292616763	5027	286305
200.066	200.153	113.23260641098022	57	33.9121621622	13.3679371622	94.0	13.0	33.9121621622	13.3679371622	5019	291324
235.48	235.575	115.06999230384827	58	34.0204081633	15.5039908787	120.0	10.0	34.0204081633	15.5039908787	5001	296325
220.365	220.318	116.92036032676697	59	34.1360544218	14.6499469274	89.0	12.0	34.1360544218	14.6499469274	5018	301343
181.356	181.343	118.53402733802795	60	32.5909090909	12.4715851773	86.0	12.0	32.5909090909	12.4715851773	5019	306362
175.475	175.399	120.14776730537415	61	31.8291139241	12.3944623394	78.0	12.0	31.8291139241	12.3944623394	5029	311391
246.853	246.775	122.07919025421143	62	35.3873239437	15.5000447939	113.0	12.0	35.3873239437	15.5000447939	5025	316416
