loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
283.486	283.238	2.0714378356933594	0	23.6698113208	12.7957257738	86.0	8.0	23.6698113208	12.7957257738	5018	5018
401.286	400.605	4.140956878662109	1	26.0829015544	15.7487845695	97.0	10.0	26.0829015544	15.7487845695	5034	10052
408.846	408.791	5.957827568054199	2	26.8128342246	15.9632681973	97.0	10.0	26.8128342246	15.9632681973	5014	15066
404.104	403.575	7.831545352935791	3	26.807486631	15.7851669219	90.0	9.0	26.807486631	15.7851669219	5013	20079
480.849	480.353	9.78730320930481	4	30.9202453988	17.603325674	90.0	10.0	30.9202453988	17.603325674	5040	25119
535.543	535.479	12.13149118423462	5	31.25625	18.6457927141	114.0	9.0	31.25625	18.6457927141	5001	30120
472.556	471.874	14.141737461090088	6	29.8035714286	17.1482537389	121.0	11.0	29.8035714286	17.1482537389	5007	35127
569.532	569.296	16.470177173614502	7	32.3096774194	19.2878259254	113.0	8.0	32.3096774194	19.2878259254	5008	40135
511.456	511.281	18.828969717025757	8	31.9050632911	17.9012014216	104.0	11.0	31.9050632911	17.9012014216	5041	45176
561.878	561.58	20.951634407043457	9	31.9171974522	18.8324701924	118.0	10.0	31.9171974522	18.8324701924	5011	50187
714.364	714.382	23.51613473892212	10	33.4733333333	21.9999080806	139.0	9.0	33.4733333333	21.9999080806	5021	55208
476.225	475.861	25.474488496780396	11	34.2808219178	16.7457797385	94.0	11.0	34.2808219178	16.7457797385	5005	60213
428.115	428.036	27.623120307922363	12	33.2516556291	15.2090155134	80.0	10.0	33.2516556291	15.2090155134	5021	65234
542.343	542.202	29.824376821517944	13	33.0197368421	17.8087317417	129.0	12.0	33.0197368421	17.8087317417	5019	70253
621.057	620.766	32.53425431251526	14	33.1513157895	19.5632442244	152.0	10.0	33.1513157895	19.5632442244	5039	75292
387.451	387.454	34.41594910621643	15	30.512195122	14.811616982	102.0	11.0	30.512195122	14.811616982	5004	80296
353.329	353.194	36.25374102592468	16	29.226744186	13.5779739936	108.0	10.0	29.226744186	13.5779739936	5027	85323
588.006	587.826	39.29883909225464	17	34.027027027	18.7219866214	137.0	11.0	34.027027027	18.7219866214	5036	90359
583.901	583.582	41.49616503715515	18	34.3401360544	19.5310659913	113.0	11.0	34.3401360544	19.5310659913	5048	95407
553.834	553.341	43.76518177986145	19	36.3188405797	18.7090559748	99.0	13.0	36.3188405797	18.7090559748	5012	100419
661.115	660.686	46.333250999450684	20	35.5531914894	20.8314497413	136.0	12.0	35.5531914894	20.8314497413	5013	105432
548.238	548.345	48.42177057266235	21	35.8285714286	17.7864084776	125.0	11.0	35.8285714286	17.7864084776	5016	110448
485.567	485.747	50.47262644767761	22	35.2253521127	17.0386447116	92.0	12.0	35.2253521127	17.0386447116	5002	115450
625.156	625.234	53.18537163734436	23	39.7244094488	19.1363434438	110.0	11.0	39.7244094488	19.1363434438	5045	120495
553.78	553.448	55.54033899307251	24	39.1484375	17.5771024008	101.0	14.0	39.1484375	17.5771024008	5011	125506
735.71	734.979	58.16411471366882	25	37.6074074074	22.5786186292	122.0	13.0	37.6074074074	22.5786186292	5077	130583
588.572	588.707	60.462836265563965	26	40.6666666667	17.7267730392	97.0	13.0	40.6666666667	17.7267730392	5002	135585
600.755	600.51	63.15980100631714	27	40.5	18.376220609	127.0	12.0	40.5	18.376220609	5022	140607
745.578	746.025	65.64184665679932	28	41.3966942149	21.179078769	153.0	16.0	41.3966942149	21.179078769	5009	145616
575.459	575.302	67.81804251670837	29	39.9206349206	17.5533667799	111.0	14.0	39.9206349206	17.5533667799	5030	150646
995.019	994.683	71.12465977668762	30	46.8317757009	26.0655127117	144.0	12.0	46.8317757009	26.0655127117	5011	155657
646.489	646.086	73.59370422363281	31	41.7166666667	19.7451189468	105.0	14.0	41.7166666667	19.7451189468	5006	160663
839.373	839.285	76.45060229301453	32	42.0336134454	22.811221171	168.0	14.0	42.0336134454	22.811221171	5002	165665
837.177	837.138	79.70955228805542	33	45.0810810811	22.6111409736	139.0	11.0	45.0810810811	22.6111409736	5004	170669
526.595	526.608	82.02236533164978	34	38.1908396947	16.8296877384	101.0	15.0	38.1908396947	16.8296877384	5003	175672
617.223	616.987	84.51275706291199	35	43.3275862069	17.6877981818	112.0	13.0	43.3275862069	17.6877981818	5026	180698
625.838	625.83	87.00763058662415	36	42.1512605042	18.6158144821	113.0	13.0	42.1512605042	18.6158144821	5016	185714
788.148	787.881	89.75964331626892	37	43.7304347826	22.0455345924	138.0	13.0	43.7304347826	22.0455345924	5029	190743
731.915	731.628	92.51364254951477	38	41.0491803279	20.9964292277	140.0	13.0	41.0491803279	20.9964292277	5008	195751
854.59	854.591	96.01981091499329	39	40.5161290323	22.5358080192	197.0	15.0	40.5161290323	22.5358080192	5024	200775
604.075	604.057	98.46059155464172	40	39.4960629921	18.4859487033	124.0	13.0	39.4960629921	18.4859487033	5016	205791
693.891	693.832	101.68096113204956	41	41.6833333333	20.5839676016	114.0	10.0	41.6833333333	20.5839676016	5002	210793
646.423	646.326	104.1232361793518	42	38.9457364341	19.8659500199	110.0	11.0	38.9457364341	19.8659500199	5024	215817
