loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
196.739	196.365	1.6468453407287598	0	22.8493150685	14.4970517231	127.0	9.0	22.8493150685	14.4970517231	5004	5004
197.833	197.521	3.166053295135498	1	25.8608247423	15.2199073158	93.0	9.0	25.8608247423	15.2199073158	5017	10021
194.127	193.779	4.668009281158447	2	26.0207253886	15.3241177887	81.0	9.0	26.0207253886	15.3241177887	5022	15043
154.072	153.913	6.339888095855713	3	24.1105769231	13.1211911563	75.0	8.0	24.1105769231	13.1211911563	5015	20058
161.88	161.94	7.650079011917114	4	25.6666666667	13.1030106803	88.0	9.0	25.6666666667	13.1030106803	5005	25063
162.881	162.872	9.137619972229004	5	25.1194029851	13.2547061629	90.0	8.0	25.1194029851	13.2547061629	5049	30112
146.25	146.206	10.73046612739563	6	24.3058252427	12.6152421696	79.0	9.0	24.3058252427	12.6152421696	5007	35119
180.995	180.896	12.243921995162964	7	24.6354679803	14.158675843	102.0	9.0	24.6354679803	14.158675843	5001	40120
137.074	137.092	13.648496389389038	8	23.8246445498	12.0312609891	77.0	9.0	23.8246445498	12.0312609891	5027	45147
183.149	183.037	15.093886852264404	9	23.0967741935	14.5337629708	98.0	8.0	23.0967741935	14.5337629708	5012	50159
151.75	151.742	16.51117444038391	10	24.0432692308	12.8468438538	84.0	9.0	24.0432692308	12.8468438538	5001	55160
155.615	155.463	17.973076343536377	11	24.5392156863	13.2777061926	73.0	9.0	24.5392156863	13.2777061926	5006	60166
172.102	172.077	19.368017196655273	12	25.4923857868	13.9165822608	91.0	9.0	25.4923857868	13.9165822608	5022	65188
238.45	238.219	20.963254690170288	13	27.5136612022	17.1559411314	120.0	10.0	27.5136612022	17.1559411314	5035	70223
198.154	198.203	22.498910665512085	14	26.544973545	14.9915086592	96.0	9.0	26.544973545	14.9915086592	5017	75240
154.761	154.729	24.044435262680054	15	25.4162436548	12.6257870077	83.0	8.0	25.4162436548	12.6257870077	5007	80247
176.036	175.936	25.69438910484314	16	26.4842105263	14.3033769718	81.0	9.0	26.4842105263	14.3033769718	5032	85279
201.4	201.436	27.19621229171753	17	27.6519337017	15.1375045243	103.0	10.0	27.6519337017	15.1375045243	5005	90284
172.442	172.433	29.117160081863403	18	25.8564102564	14.1025510489	96.0	9.0	25.8564102564	14.1025510489	5042	95326
187.578	187.507	30.52908205986023	19	26.4105263158	14.5735844212	112.0	8.0	26.4105263158	14.5735844212	5018	100344
167.305	167.308	32.138896226882935	20	26.0309278351	13.4344177228	86.0	9.0	26.0309278351	13.4344177228	5050	105394
165.286	165.221	33.5874342918396	21	25.5357142857	13.5914795488	96.0	9.0	25.5357142857	13.5914795488	5005	110399
232.039	232.038	35.12677192687988	22	29.5235294118	16.7764551192	102.0	10.0	29.5235294118	16.7764551192	5019	115418
201.407	201.307	36.80954551696777	23	27.9608938547	15.4186867429	90.0	9.0	27.9608938547	15.4186867429	5005	120423
223.41	223.3	38.41079068183899	24	27.4945054945	16.424903115	114.0	8.0	27.4945054945	16.424903115	5004	125427
257.071	256.976	40.156354665756226	25	27.543956044	17.8758152587	110.0	8.0	27.543956044	17.8758152587	5013	130440
220.997	220.953	42.01034116744995	26	29.2325581395	16.2356730536	81.0	10.0	29.2325581395	16.2356730536	5028	135468
186.904	186.878	43.465277910232544	27	27.0486486486	14.5078845594	95.0	8.0	27.0486486486	14.5078845594	5004	140472
176.389	176.386	45.11316132545471	28	28.6193181818	13.3402787039	78.0	8.0	28.6193181818	13.3402787039	5037	145509
202.368	202.331	46.77386260032654	29	28.8333333333	15.1945556392	87.0	10.0	28.8333333333	15.1945556392	5017	150526
230.35	230.157	48.78646898269653	30	30.6341463415	16.6557777239	83.0	9.0	30.6341463415	16.6557777239	5024	155550
218.708	218.662	51.13803505897522	31	30.6707317073	15.7534780349	85.0	10.0	30.6707317073	15.7534780349	5030	160580
207.976	207.972	53.65152382850647	32	29.2312138728	15.6841570675	86.0	9.0	29.2312138728	15.6841570675	5057	165637
263.943	264.002	55.42578864097595	33	32.474025974	17.9379153156	92.0	9.0	32.474025974	17.9379153156	5001	170638
212.506	212.409	56.99605464935303	34	30.1987951807	15.8023255417	91.0	9.0	30.1987951807	15.8023255417	5013	175651
208.311	208.35	58.60008931159973	35	31.36875	14.7065554579	87.0	10.0	31.36875	14.7065554579	5019	180670
336.728	336.705	60.675931215286255	36	33.8108108108	20.495665775	148.0	9.0	33.8108108108	20.495665775	5004	185674
229.541	229.501	62.39565634727478	37	31.6835443038	15.9223148115	90.0	8.0	31.6835443038	15.9223148115	5006	190680
231.257	231.162	64.09685683250427	38	32.7973856209	15.8581784336	89.0	11.0	32.7973856209	15.8581784336	5018	195698
230.652	230.632	65.81492209434509	39	31.3416149068	16.2718006998	87.0	9.0	31.3416149068	16.2718006998	5046	200744
310.896	310.858	67.56715941429138	40	33.0394736842	19.8314879803	131.0	10.0	33.0394736842	19.8314879803	5022	205766
265.73	265.554	69.23455858230591	41	32.4064516129	17.7610290221	113.0	10.0	32.4064516129	17.7610290221	5023	210789
214.241	214.297	71.38287854194641	42	31.6708860759	15.2466817465	93.0	11.0	31.6708860759	15.2466817465	5004	215793
283.679	283.693	73.20773339271545	43	33.238410596	18.6216098241	127.0	8.0	33.238410596	18.6216098241	5019	220812
321.016	320.936	75.17701077461243	44	38.0378787879	19.2957073665	98.0	12.0	38.0378787879	19.2957073665	5021	225833
258.548	258.492	76.85786771774292	45	33.2582781457	17.2390529911	115.0	10.0	33.2582781457	17.2390529911	5022	230855
248.69	248.683	78.72047233581543	46	34.4013605442	16.5807280409	84.0	11.0	34.4013605442	16.5807280409	5057	235912
283.969	283.939	80.41912961006165	47	34.7708333333	18.4389829912	96.0	8.0	34.7708333333	18.4389829912	5007	240919
241.504	241.443	82.05305600166321	48	34.7777777778	15.8137793485	91.0	12.0	34.7777777778	15.8137793485	5008	245927
250.535	250.464	83.76261568069458	49	32.3483870968	17.1917435354	114.0	10.0	32.3483870968	17.1917435354	5014	250941
302.417	302.189	85.44450259208679	50	36.4057971014	18.7684740607	105.0	9.0	36.4057971014	18.7684740607	5024	255965
250.492	250.553	87.22158527374268	51	34.8194444444	16.5267681764	88.0	10.0	34.8194444444	16.5267681764	5014	260979
301.239	301.136	88.91873407363892	52	36.0863309353	18.9912823675	109.0	12.0	36.0863309353	18.9912823675	5016	265995
299.802	299.682	91.58614373207092	53	35.2887323944	18.9337544122	117.0	10.0	35.2887323944	18.9337544122	5011	271006
261.216	261.297	93.96303701400757	54	33.4066666667	17.5920802888	93.0	9.0	33.4066666667	17.5920802888	5011	276017
293.949	293.999	95.73184466362	55	34.4178082192	18.7721583587	118.0	9.0	34.4178082192	18.7721583587	5025	281042
257.908	257.754	98.31452512741089	56	34.619047619	16.9357864204	107.0	11.0	34.619047619	16.9357864204	5089	286131
251.961	251.944	100.04736995697021	57	32.8322580645	17.1982067163	106.0	11.0	32.8322580645	17.1982067163	5089	291220
204.327	204.302	101.78412985801697	58	32.5032258065	14.4768443334	75.0	9.0	32.5032258065	14.4768443334	5038	296258
336.619	336.254	103.64970088005066	59	36.2898550725	19.9103799666	141.0	9.0	36.2898550725	19.9103799666	5008	301266
209.722	209.189	105.42925095558167	60	30.0	15.1831138476	95.0	10.0	30.0	15.1831138476	5010	306276
228.737	228.776	107.34495615959167	61	31.1111111111	16.1963263629	114.0	8.0	31.1111111111	16.1963263629	5040	311316
237.21	237.264	108.988272190094	62	30.950617284	16.4545023555	109.0	9.0	30.950617284	16.4545023555	5014	316330
243.985	244.081	111.56353735923767	63	30.1497005988	16.9803086881	125.0	9.0	30.1497005988	16.9803086881	5035	321365
257.715	257.462	113.32419228553772	64	30.6463414634	17.3805133041	111.0	11.0	30.6463414634	17.3805133041	5026	326391
282.983	282.922	115.0260591506958	65	32.4774193548	18.9134993551	125.0	10.0	32.4774193548	18.9134993551	5034	331425
231.136	231.224	116.76762175559998	66	30.1017964072	16.8397287341	95.0	9.0	30.1017964072	16.8397287341	5027	336452
192.263	192.231	118.28563928604126	67	30.0179640719	14.1550325592	97.0	9.0	30.0179640719	14.1550325592	5013	341465
190.111	189.992	119.8234760761261	68	28.5170454545	14.5641115697	85.0	10.0	28.5170454545	14.5641115697	5019	346484
195.157	195.147	121.37264275550842	69	29.1279069767	14.5760208559	97.0	8.0	29.1279069767	14.5760208559	5010	351494
218.49	218.485	122.93856906890869	70	29.269005848	16.0572123546	92.0	9.0	29.269005848	16.0572123546	5005	356499
196.82	196.798	124.38541555404663	71	27.9277777778	15.0680053076	91.0	9.0	27.9277777778	15.0680053076	5027	361526
304.492	304.174	126.09045672416687	72	28.7028571429	18.1237884043	181.0	9.0	28.7028571429	18.1237884043	5023	366549
219.576	219.514	127.65030360221863	73	29.9642857143	16.0144625325	87.0	9.0	29.9642857143	16.0144625325	5034	371583
225.582	225.47	129.53768634796143	74	30.6809815951	16.1274469857	109.0	10.0	30.6809815951	16.1274469857	5001	376584
214.944	215.018	131.12934398651123	75	29.6094674556	15.9240476947	89.0	10.0	29.6094674556	15.9240476947	5004	381588
230.535	230.477	132.73927187919617	76	30.0773809524	16.7559502664	110.0	9.0	30.0773809524	16.7559502664	5053	386641
228.186	228.059	134.4184958934784	77	30.4181818182	16.3507289161	102.0	10.0	30.4181818182	16.3507289161	5019	391660
184.064	184.152	135.91941022872925	78	27.6758241758	14.5341344387	76.0	10.0	27.6758241758	14.5341344387	5037	396697
171.018	170.983	137.23798513412476	79	28.3276836158	13.5632009518	70.0	10.0	28.3276836158	13.5632009518	5014	401711
260.652	260.533	139.01870274543762	80	31.1304347826	18.0747689468	104.0	8.0	31.1304347826	18.0747689468	5012	406723
242.999	242.72	140.62936186790466	81	31.898089172	17.0361865568	104.0	10.0	31.898089172	17.0361865568	5008	411731
212.253	212.207	142.43518686294556	82	31.0931677019	15.4617545557	92.0	10.0	31.0931677019	15.4617545557	5006	416737
371.822	370.96	144.26951599121094	83	33.2119205298	21.1765236976	176.0	9.0	33.2119205298	21.1765236976	5015	421752
203.729	203.525	145.89125609397888	84	31.2625	14.6945940315	79.0	10.0	31.2625	14.6945940315	5002	426754
267.117	266.705	147.65765476226807	85	30.8888888889	18.3343434065	102.0	11.0	30.8888888889	18.3343434065	5004	431758
233.481	233.462	149.21621131896973	86	30.3233532934	16.655821827	109.0	10.0	30.3233532934	16.655821827	5064	436822
205.255	205.362	150.93985986709595	87	29.3859649123	15.219356388	87.0	9.0	29.3859649123	15.219356388	5025	441847
216.713	216.842	152.8274531364441	88	28.4147727273	15.8291161513	122.0	9.0	28.4147727273	15.8291161513	5001	446848
169.373	169.314	154.35554552078247	89	28.308988764	13.2897708441	74.0	9.0	28.308988764	13.2897708441	5039	451887
180.785	180.832	155.99069118499756	90	26.5185185185	14.4557681838	89.0	10.0	26.5185185185	14.4557681838	5012	456899
181.558	181.628	157.84893608093262	91	27.5659340659	14.4755779158	88.0	9.0	27.5659340659	14.4755779158	5017	461916
162.033	161.853	159.48374700546265	92	25.7076923077	13.5866334128	78.0	8.0	25.7076923077	13.5866334128	5013	466929
167.762	167.864	161.15525341033936	93	24.5245098039	13.8073008272	110.0	9.0	24.5245098039	13.8073008272	5003	471932
160.128	160.129	163.217214345932	94	24.5490196078	13.2850553299	109.0	9.0	24.5490196078	13.2850553299	5008	476940
135.013	135.037	165.21556401252747	95	23.0967741935	12.1906831052	76.0	10.0	23.0967741935	12.1906831052	5012	481952
139.062	139.074	166.62198853492737	96	22.8767123288	12.6818590518	85.0	9.0	22.8767123288	12.6818590518	5010	486962
122.759	122.533	168.03438520431519	97	22.628959276	11.1946122021	79.0	9.0	22.628959276	11.1946122021	5001	491963
141.509	141.527	169.4621319770813	98	22.8181818182	12.5988324266	81.0	9.0	22.8181818182	12.5988324266	5020	496983
116.949	116.951	170.72862458229065	99	21.9563318777	11.0847397597	84.0	8.0	21.9563318777	11.0847397597	5028	502011
