loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
364.028	362.274	0.8554623126983643	0	27.2432432432	14.7820296405	72.0	11.0	27.2432432432	14.7820296405	1008	1008
410.277	408.513	1.243715763092041	1	25.8974358974	15.8483111966	88.0	12.0	25.8974358974	15.8483111966	1010	2018
884.032	881.451	2.0991947650909424	2	31.4242424242	24.3721528911	123.0	10.0	31.4242424242	24.3721528911	1037	3055
601.099	600.703	2.815641403198242	3	36.3448275862	19.8828913842	73.0	9.0	36.3448275862	19.8828913842	1054	4109
572.04	571.704	3.329953670501709	4	36.4137931034	18.2388695229	78.0	9.0	36.4137931034	18.2388695229	1056	5165
450.834	450.276	3.871081590652466	5	30.9696969697	16.777482833	75.0	12.0	30.9696969697	16.777482833	1022	6187
363.934	363.511	4.450006484985352	6	28.9714285714	14.2176665039	73.0	11.0	28.9714285714	14.2176665039	1014	7201
319.646	319.42	4.915503978729248	7	28.8571428571	12.7797671724	58.0	9.0	28.8571428571	12.7797671724	1010	8211
441.535	441.474	5.321365118026733	8	29.6470588235	16.7996539757	79.0	10.0	29.6470588235	16.7996539757	1008	9219
487.994	487.423	5.76767635345459	9	28.1111111111	18.0735807462	95.0	10.0	28.1111111111	18.0735807462	1012	10231
444.005	443.284	6.315946102142334	10	31.84375	16.6341316557	81.0	11.0	31.84375	16.6341316557	1019	11250
372.336	372.474	6.856991767883301	11	31.1212121212	13.7041413244	72.0	11.0	31.1212121212	13.7041413244	1027	12277
328.164	327.927	7.342529058456421	12	30.2352941176	11.8571369015	73.0	14.0	30.2352941176	11.8571369015	1028	13305
547.052	546.777	7.864742994308472	13	31.7878787879	18.9092851583	81.0	11.0	31.7878787879	18.9092851583	1049	14354
348.296	347.803	8.350420475006104	14	28.25	14.0877705042	68.0	10.0	28.25	14.0877705042	1017	15371
234.545	233.413	8.716691255569458	15	24.4390243902	10.4719108152	59.0	10.0	24.4390243902	10.4719108152	1002	16373
441.122	441.237	9.333966970443726	16	29.7941176471	17.0065375176	77.0	10.0	29.7941176471	17.0065375176	1013	17386
273.185	273.305	9.842556238174438	17	23.7441860465	12.4752648725	66.0	11.0	23.7441860465	12.4752648725	1021	18407
475.01	475.127	10.277677297592163	18	31.0909090909	17.0318127229	84.0	10.0	31.0909090909	17.0318127229	1026	19433
446.446	445.756	10.685364246368408	19	28.6857142857	16.9533333066	82.0	11.0	28.6857142857	16.9533333066	1004	20437
235.736	235.588	11.02836561203003	20	25.7	10.200980345	58.0	11.0	25.7	10.200980345	1028	21465
246.267	246.227	11.357893228530884	21	25.125	11.216477834	59.0	10.0	25.125	11.216477834	1005	22470
346.935	346.559	11.93888235092163	22	25.380952381	14.6172637348	75.0	11.0	25.380952381	14.6172637348	1066	23536
355.321	355.198	12.557023048400879	23	25.275	15.0698166877	82.0	9.0	25.275	15.0698166877	1011	24547
349.18	349.187	12.98334550857544	24	27.8611111111	14.2773184102	68.0	12.0	27.8611111111	14.2773184102	1003	25550
288.455	288.491	13.400682210922241	25	23.4545454545	13.1069976894	69.0	11.0	23.4545454545	13.1069976894	1032	26582
334.162	333.795	13.738965272903442	26	25.3	13.7371758378	84.0	11.0	25.3	13.7371758378	1012	27594
224.628	224.538	14.042096614837646	27	23.9047619048	10.9061134534	52.0	9.0	23.9047619048	10.9061134534	1004	28598
242.709	242.84	14.357257604598999	28	24.5238095238	10.8435587535	57.0	11.0	24.5238095238	10.8435587535	1030	29628
398.766	398.351	15.077124834060669	29	25.2	15.7388055455	93.0	10.0	25.2	15.7388055455	1008	30636
514.445	514.341	15.763463497161865	30	29.0	18.3816678864	93.0	9.0	29.0	18.3816678864	1015	31651
509.71	508.721	16.248241186141968	31	29.2857142857	18.5681315755	92.0	10.0	29.2857142857	18.5681315755	1025	32676
306.73	306.643	16.797960996627808	32	26.6052631579	12.8770286571	63.0	12.0	26.6052631579	12.8770286571	1011	33687
347.453	347.527	17.383636951446533	33	27.9722222222	14.0879895875	76.0	9.0	27.9722222222	14.0879895875	1007	34694
228.898	228.656	17.690272092819214	34	24.8048780488	10.5535094433	50.0	10.0	24.8048780488	10.5535094433	1017	35711
467.96	467.404	18.35442280769348	35	28.3055555556	16.9309372393	95.0	10.0	28.3055555556	16.9309372393	1019	36730
343.471	343.266	18.728299140930176	36	28.1666666667	14.0643362999	68.0	12.0	28.1666666667	14.0643362999	1014	37744
328.983	328.984	19.314945697784424	37	29.1111111111	13.5519120787	59.0	12.0	29.1111111111	13.5519120787	1048	38792
234.496	234.552	19.81507635116577	38	25.45	10.4784302259	55.0	10.0	25.45	10.4784302259	1018	39810
364.609	364.378	20.174387216567993	39	30.5151515152	13.7974991413	70.0	16.0	30.5151515152	13.7974991413	1007	40817
431.585	431.641	20.73997735977173	40	32.5161290323	15.3851016492	76.0	15.0	32.5161290323	15.3851016492	1008	41825
284.725	284.762	21.13458490371704	41	29.0285714286	11.1085185184	52.0	11.0	29.0285714286	11.1085185184	1016	42841
374.038	373.922	21.709336519241333	42	30.6060606061	14.6844370182	67.0	8.0	30.6060606061	14.6844370182	1010	43851
393.792	393.741	22.356297254562378	43	30.4545454545	15.2416711664	69.0	11.0	30.4545454545	15.2416711664	1005	44856
443.273	442.889	22.99787139892578	44	32.09375	16.574376638	66.0	11.0	32.09375	16.574376638	1027	45883
311.96	312.072	23.41686701774597	45	27.1891891892	13.1844253692	72.0	10.0	27.1891891892	13.1844253692	1006	46889
341.758	341.667	23.868584632873535	46	27.6756756757	14.4391623139	69.0	11.0	27.6756756757	14.4391623139	1024	47913
294.235	294.033	24.20199155807495	47	27.1621621622	12.6224028927	58.0	11.0	27.1621621622	12.6224028927	1005	48918
455.816	454.652	24.600261211395264	48	28.8	16.6524129526	95.0	12.0	28.8	16.6524129526	1008	49926
345.922	345.817	24.953901290893555	49	27.6486486486	14.4432088525	59.0	9.0	27.6486486486	14.4432088525	1023	50949
264.622	264.711	25.49583888053894	50	26.7894736842	11.093283636	63.0	12.0	26.7894736842	11.093283636	1018	51967
349.391	349.367	26.060622453689575	51	26.6842105263	14.2775223841	72.0	12.0	26.6842105263	14.2775223841	1014	52981
175.512	175.508	26.39504361152649	52	23.0681818182	8.46489469212	44.0	12.0	23.0681818182	8.46489469212	1015	53996
378.694	378.408	26.856557369232178	53	28.2972972973	15.6738116319	66.0	11.0	28.2972972973	15.6738116319	1047	55043
519.993	519.461	27.272021055221558	54	25.15	18.7503999957	101.0	8.0	25.15	18.7503999957	1006	56049
327.99	327.546	27.66745948791504	55	24.5238095238	13.2974005609	90.0	9.0	24.5238095238	13.2974005609	1030	57079
357.596	357.34	28.041593551635742	56	27.9444444444	14.4644092794	75.0	12.0	27.9444444444	14.4644092794	1006	58085
