loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
125.198	125.219	1.5668981075286865	0	20.7593360996	11.6109194374	97.0	8.0	20.7593360996	11.6109194374	5003	5003
114.825	114.828	2.877376079559326	1	22.0350877193	10.77637916	62.0	9.0	22.0350877193	10.77637916	5024	10027
119.984	119.892	4.37161111831665	2	21.4273504274	11.0355418344	94.0	8.0	21.4273504274	11.0355418344	5014	15041
175.077	174.545	5.71911358833313	3	24.6600985222	14.4861997855	82.0	9.0	24.6600985222	14.4861997855	5006	20047
168.253	168.303	7.162102937698364	4	23.990430622	13.9811870969	102.0	9.0	23.990430622	13.9811870969	5014	25061
180.878	180.805	8.637263536453247	5	26.0729166667	14.5689773089	86.0	9.0	26.0729166667	14.5689773089	5006	30067
178.717	178.79	10.16511058807373	6	26.3421052632	14.0893321268	85.0	9.0	26.3421052632	14.0893321268	5005	35072
269.737	269.767	14.906846046447754	7	29.674556213	18.3117481919	119.0	9.0	29.674556213	18.3117481919	5015	40087
293.876	293.603	16.793370723724365	8	30.3272727273	19.2370109303	116.0	9.0	30.3272727273	19.2370109303	5004	45091
357.559	357.145	18.60592269897461	9	31.0745341615	20.6281941762	164.0	9.0	31.0745341615	20.6281941762	5003	50094
304.074	304.044	21.88288688659668	10	30.0059171598	19.2954288487	144.0	9.0	30.0059171598	19.2954288487	5071	55165
324.154	323.863	23.97796106338501	11	31.0555555556	19.3487326921	167.0	9.0	31.0555555556	19.3487326921	5031	60196
286.741	286.75	26.303802728652954	12	31.746835443	19.1281278435	106.0	10.0	31.746835443	19.1281278435	5016	65212
278.64	278.62	28.0658540725708	13	31.8860759494	18.4764560015	111.0	9.0	31.8860759494	18.4764560015	5038	70250
283.454	283.043	34.09993290901184	14	32.1025641026	18.7032081052	121.0	9.0	32.1025641026	18.7032081052	5008	75258
390.658	390.613	36.18456768989563	15	33.9060402685	22.9075592816	129.0	11.0	33.9060402685	22.9075592816	5052	80310
495.9	495.426	38.72193360328674	16	39.5354330709	26.1400815341	132.0	11.0	39.5354330709	26.1400815341	5021	85331
287.851	287.554	40.52452039718628	17	34.6068965517	18.5566408047	109.0	10.0	34.6068965517	18.5566408047	5018	90349
389.909	390.05	42.55494689941406	18	37.102189781	23.0822979133	124.0	9.0	37.102189781	23.0822979133	5083	95432
291.882	291.964	47.727415800094604	19	33.6174496644	19.0363824448	109.0	10.0	33.6174496644	19.0363824448	5009	100441
463.159	463.032	50.150285959243774	20	39.4330708661	25.0195484363	141.0	9.0	39.4330708661	25.0195484363	5008	105449
489.658	489.497	52.53108477592468	21	43.0170940171	25.6341728734	131.0	10.0	43.0170940171	25.6341728734	5033	110482
