loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
426.074	425.302	0.710930347442627	0	27.1052631579	16.4329410407	77.0	11.0	27.1052631579	16.4329410407	1030	1030
271.752	270.675	1.1989161968231201	1	24.4047619048	12.0575199294	66.0	10.0	24.4047619048	12.0575199294	1025	2055
228.06	227.272	1.6054399013519287	2	21.8913043478	11.1301163338	66.0	10.0	21.8913043478	11.1301163338	1007	3062
263.651	264.158	2.13588547706604	3	23.5581395349	11.7874634342	67.0	9.0	23.5581395349	11.7874634342	1013	4075
398.423	397.06	2.643601417541504	4	27.3783783784	15.9176111058	74.0	10.0	27.3783783784	15.9176111058	1013	5088
362.886	361.732	3.109853982925415	5	26.0	14.8099065943	69.0	9.0	26.0	14.8099065943	1014	6102
248.858	248.721	3.481894016265869	6	23.2954545455	11.5887475703	60.0	10.0	23.2954545455	11.5887475703	1025	7127
185.205	184.929	3.9156861305236816	7	20.9166666667	9.23045984168	53.0	9.0	20.9166666667	9.23045984168	1004	8131
388.001	387.864	4.3868632316589355	8	26.5128205128	15.0160116164	87.0	11.0	26.5128205128	15.0160116164	1034	9165
277.402	277.388	4.8448121547698975	9	23.1136363636	12.2812049844	77.0	10.0	23.1136363636	12.2812049844	1017	10182
369.383	368.821	5.2936177253723145	10	24.6976744186	15.2521975294	78.0	9.0	24.6976744186	15.2521975294	1062	11244
533.948	533.733	5.977128028869629	11	32.28125	18.0038787054	97.0	11.0	32.28125	18.0038787054	1033	12277
311.144	311.101	6.43764066696167	12	25.0487804878	13.6201988086	67.0	10.0	25.0487804878	13.6201988086	1027	13304
596.049	594.506	6.931978464126587	13	32.5806451613	19.5510484721	90.0	12.0	32.5806451613	19.5510484721	1010	14314
308.695	308.856	7.341442346572876	14	23.2045454545	12.6949874601	89.0	10.0	23.2045454545	12.6949874601	1021	15335
379.822	379.046	7.7012975215911865	15	25.275	15.2364488973	79.0	12.0	25.275	15.2364488973	1011	16346
499.808	500.122	8.360681056976318	16	31.75	17.973939468	71.0	13.0	31.75	17.973939468	1016	17362
1538.12	1530.64	9.204750537872314	17	34.8965517241	32.2761199518	158.0	10.0	34.8965517241	32.2761199518	1012	18374
348.553	349.078	9.68733549118042	18	25.6923076923	14.711157193	66.0	9.0	25.6923076923	14.711157193	1002	19376
562.081	561.955	10.46785044670105	19	31.4375	19.2336578359	98.0	8.0	31.4375	19.2336578359	1006	20382
393.334	393.623	11.009325504302979	20	27.8648648649	14.711940659	81.0	10.0	27.8648648649	14.711940659	1031	21413
551.578	551.294	11.678041219711304	21	31.28125	19.097176452	99.0	9.0	31.28125	19.097176452	1001	22414
401.453	400.877	12.119320154190063	22	28.0555555556	15.6328437103	78.0	9.0	28.0555555556	15.6328437103	1010	23424
539.29	538.538	12.631694316864014	23	32.5483870968	18.614664198	91.0	10.0	32.5483870968	18.614664198	1009	24433
1039.66	1036.19	13.420992136001587	24	33.4666666667	26.7491225194	138.0	10.0	33.4666666667	26.7491225194	1004	25437
406.218	405.872	13.922605752944946	25	29.7941176471	15.4534964857	78.0	10.0	29.7941176471	15.4534964857	1013	26450
893.282	893.477	14.838940382003784	26	36.2857142857	25.3614684439	113.0	12.0	36.2857142857	25.3614684439	1016	27466
783.311	782.455	15.535417079925537	27	32.8484848485	24.0152996841	102.0	10.0	32.8484848485	24.0152996841	1084	28550
1222.77	1222.2	16.490104913711548	28	39.1481481481	31.0432239922	119.0	11.0	39.1481481481	31.0432239922	1057	29607
1263.55	1260.43	17.3649480342865	29	35.5	28.2533183892	162.0	12.0	35.5	28.2533183892	1065	30672
749.341	747.778	17.96923303604126	30	34.5172413793	22.7363004446	107.0	11.0	34.5172413793	22.7363004446	1001	31673
472.48	472.525	18.456950426101685	31	30.0294117647	17.1524055835	82.0	12.0	30.0294117647	17.1524055835	1021	32694
672.973	671.731	19.00678539276123	32	37.4814814815	20.8262127749	88.0	14.0	37.4814814815	20.8262127749	1012	33706
513.95	513.464	19.629527807235718	33	33.8064516129	17.4234164918	81.0	12.0	33.8064516129	17.4234164918	1048	34754
571.652	572.276	20.286461114883423	34	31.53125	19.7087930487	95.0	10.0	31.53125	19.7087930487	1009	35763
