loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
142.049	141.698	1.8265573978424072	0	22.2577777778	12.3214445201	84.0	8.0	22.2577777778	12.3214445201	5008	5008
104.781	104.68	3.088174819946289	1	20.2591093117	10.3175133142	70.0	8.0	20.2591093117	10.3175133142	5004	10012
119.679	119.56	4.529390335083008	2	19.5390625	11.2488904618	99.0	8.0	19.5390625	11.2488904618	5002	15014
122.799	122.799	5.894156455993652	3	20.3739837398	11.1314382112	107.0	9.0	20.3739837398	11.1314382112	5012	20026
104.067	104.006	7.284529209136963	4	20.6008230453	10.0144504307	86.0	8.0	20.6008230453	10.0144504307	5006	25032
113.563	113.567	8.5699462890625	5	20.9166666667	11.0106640228	70.0	9.0	20.9166666667	11.0106640228	5020	30052
102.694	102.702	9.874536037445068	6	21.2542372881	9.90564506124	66.0	8.0	21.2542372881	9.90564506124	5016	35068
120.056	120.031	11.93149185180664	7	21.3846153846	11.1955013507	86.0	8.0	21.3846153846	11.1955013507	5004	40072
100.554	100.549	13.245464563369751	8	20.6502057613	10.0626162012	60.0	8.0	20.6502057613	10.0626162012	5018	45090
119.124	119.024	14.656067132949829	9	21.0251046025	11.3118313617	71.0	8.0	21.0251046025	11.3118313617	5025	50115
121.19	121.177	15.95564866065979	10	21.7575757576	11.1922252395	72.0	9.0	21.7575757576	11.1922252395	5026	55141
132.462	132.431	17.376736879348755	11	21.5732758621	12.0496019233	98.0	9.0	21.5732758621	12.0496019233	5005	60146
118.669	118.547	18.780940294265747	12	21.3659574468	11.0892947533	77.0	9.0	21.3659574468	11.0892947533	5021	65167
111.255	111.224	20.138070583343506	13	22.2666666667	10.5105238267	69.0	8.0	22.2666666667	10.5105238267	5010	70177
119.994	119.902	21.526732206344604	14	21.9385964912	11.2727626152	71.0	8.0	21.9385964912	11.2727626152	5002	75179
115.626	115.465	22.842090129852295	15	21.2194092827	11.2884300421	68.0	8.0	21.2194092827	11.2884300421	5029	80208
95.5863	95.6626	24.189338445663452	16	20.7520661157	9.62587850814	57.0	9.0	20.7520661157	9.62587850814	5022	85230
114.602	114.659	25.76566433906555	17	20.1814516129	11.3671915201	76.0	8.0	20.1814516129	11.3671915201	5005	90235
129.611	129.589	27.3111252784729	18	20.4448979592	12.0330338045	102.0	8.0	20.4448979592	12.0330338045	5009	95244
91.4608	91.4424	29.186214685440063	19	20.0963855422	9.60540484294	58.0	9.0	20.0963855422	9.60540484294	5004	100248
104.541	104.509	30.702255487442017	20	19.7283464567	10.4779964247	79.0	9.0	19.7283464567	10.4779964247	5011	105259
106.475	106.445	32.09217834472656	21	19.7865612648	10.765644799	69.0	8.0	19.7865612648	10.765644799	5006	110265
90.7756	90.7457	33.4172043800354	22	19.7637795276	9.56902540139	54.0	8.0	19.7637795276	9.56902540139	5020	115285
76.9778	76.9645	34.770806074142456	23	18.7902621723	8.54033274831	55.0	9.0	18.7902621723	8.54033274831	5017	120302
72.1405	72.0616	36.00114464759827	24	18.9507575758	8.13995938688	48.0	8.0	18.9507575758	8.13995938688	5003	125305
93.3076	93.3086	37.98292374610901	25	19.1140684411	9.99706762077	74.0	8.0	19.1140684411	9.99706762077	5027	130332
83.2641	83.2142	39.63790678977966	26	18.594795539	9.13688401445	76.0	8.0	18.594795539	9.13688401445	5002	135334
81.9225	81.9607	41.0995237827301	27	19.3397683398	9.0190918021	58.0	8.0	19.3397683398	9.0190918021	5009	140343
76.0383	76.0192	42.420594453811646	28	17.8928571429	8.74046127303	71.0	8.0	17.8928571429	8.74046127303	5010	145353
77.2202	77.222	43.72581720352173	29	17.4285714286	8.70545619974	83.0	8.0	17.4285714286	8.70545619974	5002	150355
86.7866	86.7639	45.0393009185791	30	18.2737226277	9.30043378686	91.0	8.0	18.2737226277	9.30043378686	5007	155362
75.0114	74.9924	46.26344609260559	31	18.1963636364	8.52619415548	60.0	8.0	18.1963636364	8.52619415548	5004	160366
64.95	64.9571	47.38399386405945	32	17.3114186851	7.89156010081	58.0	8.0	17.3114186851	7.89156010081	5003	165369
76.3555	76.3341	49.0638484954834	33	18.5962962963	8.67712964494	60.0	9.0	18.5962962963	8.67712964494	5021	170390
75.5455	75.5378	50.38225317001343	34	18.6828358209	8.81189008576	58.0	8.0	18.6828358209	8.81189008576	5007	175397
84.7014	84.6362	51.80102753639221	35	18.3186813187	9.14620254377	81.0	9.0	18.3186813187	9.14620254377	5001	180398
91.0827	91.0273	53.300201416015625	36	18.9886363636	9.79234509109	74.0	9.0	18.9886363636	9.79234509109	5013	185411
87.611	87.6429	55.142258167266846	37	19.56640625	9.52153625787	63.0	9.0	19.56640625	9.52153625787	5009	190420
75.2017	75.192	56.5814528465271	38	18.5333333333	8.49644805961	58.0	8.0	18.5333333333	8.49644805961	5004	195424
94.3999	94.3894	58.14601159095764	39	19.1145038168	10.0165063933	79.0	9.0	19.1145038168	10.0165063933	5008	200432
84.0503	84.0395	59.81939387321472	40	19.0265151515	9.16903847978	69.0	8.0	19.0265151515	9.16903847978	5023	205455
91.7972	91.7845	61.095664262771606	41	18.7640449438	9.63493464746	89.0	8.0	18.7640449438	9.63493464746	5010	210465
93.2008	93.1205	62.57188963890076	42	19.53515625	9.90850400101	55.0	9.0	19.53515625	9.90850400101	5001	215466
