loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
174.643	173.386	0.5344967842102051	0	22.6595744681	14.7175920147	70.0	9.0	22.6595744681	14.7175920147	1065	1065
157.473	156.807	0.8853223323822021	1	23.8863636364	13.9776053176	59.0	10.0	23.8863636364	13.9776053176	1051	2116
156.061	155.536	1.1620686054229736	2	25.0487804878	13.0064734717	65.0	9.0	25.0487804878	13.0064734717	1027	3143
257.943	256.981	1.6945197582244873	3	27.3846153846	18.169593344	96.0	10.0	27.3846153846	18.169593344	1068	4211
178.694	178.601	2.173210620880127	4	28.1944444444	13.378713284	68.0	12.0	28.1944444444	13.378713284	1015	5226
146.053	145.778	2.504006862640381	5	24.4146341463	13.1871622898	58.0	9.0	24.4146341463	13.1871622898	1001	6227
227.013	226.69	2.959634780883789	6	30.3333333333	16.8301077018	73.0	10.0	30.3333333333	16.8301077018	1001	7228
203.134	203.109	3.426395893096924	7	28.9714285714	15.6287020104	66.0	11.0	28.9714285714	15.6287020104	1014	8242
203.048	203.072	3.7433602809906006	8	27.2702702703	15.410857262	86.0	9.0	27.2702702703	15.410857262	1009	9251
271.635	271.125	4.281635046005249	9	34.8275862069	17.3743151004	86.0	13.0	34.8275862069	17.3743151004	1010	10261
330.683	330.676	4.738840341567993	10	36.0	20.6447789175	93.0	12.0	36.0	20.6447789175	1044	11305
255.884	256.02	5.128101110458374	11	35.5	16.018218794	84.0	16.0	35.5	16.018218794	1065	12370
254.462	254.35	5.677400827407837	12	31.7647058824	17.4693998407	95.0	11.0	31.7647058824	17.4693998407	1080	13450
295.743	295.477	6.1610236167907715	13	37.2962962963	17.9522304708	92.0	15.0	37.2962962963	17.9522304708	1007	14457
374.243	373.8	6.638042449951172	14	36.5172413793	21.7836077086	100.0	12.0	36.5172413793	21.7836077086	1059	15516
317.452	316.885	7.229543685913086	15	37.3333333333	18.9892757259	99.0	14.0	37.3333333333	18.9892757259	1008	16524
200.637	200.417	7.678316354751587	16	32.3225806452	13.2698715184	77.0	14.0	32.3225806452	13.2698715184	1002	17526
405.099	404.775	8.268993139266968	17	40.24	22.8320476524	103.0	14.0	40.24	22.8320476524	1006	18532
272.269	271.936	8.790939807891846	18	33.5483870968	18.8008900093	81.0	9.0	33.5483870968	18.8008900093	1040	19572
276.568	276.592	9.333344221115112	19	35.8928571429	17.1304642705	93.0	10.0	35.8928571429	17.1304642705	1005	20577
485.282	484.974	9.834246158599854	20	35.0	26.495282599	131.0	10.0	35.0	26.495282599	1015	21592
271.151	271.146	10.284462213516235	21	36.1034482759	17.3827993214	83.0	12.0	36.1034482759	17.3827993214	1047	22639
375.145	374.917	10.751384973526001	22	38.2142857143	22.0476061915	107.0	13.0	38.2142857143	22.0476061915	1070	23709
327.837	327.274	11.208122968673706	23	34.2	20.6129409191	107.0	14.0	34.2	20.6129409191	1026	24735
275.619	275.433	11.557377099990845	24	33.6666666667	18.078225085	92.0	13.0	33.6666666667	18.078225085	1010	25745
261.31	261.054	11.991371154785156	25	34.7586206897	17.9186960202	74.0	11.0	34.7586206897	17.9186960202	1008	26753
541.936	542.034	12.480538845062256	26	36.6428571429	27.3694489293	123.0	9.0	36.6428571429	27.3694489293	1026	27779
